Trial 1,Trial 2,Trial 3,Mean
0.00128668,0.00114181,0.00110277,0.00117709
4.0937e-05,3.5767e-05,3.5937e-05,3.7547e-05
7.2546e-05,6.3099e-05,5.5905e-05,6.385e-05
0.841582,0.859853,0.692795,0.798077
0.440356,0.458276,0.438542,0.445725
