Dataset Size,Mystery 1,Mystery 2,Mystery 3,Mystery 4,Mystery 5
10,0.000000449,0.000000172,0.000000117,0.000000157,0.000000196
100,0.000004640,0.000007027,0.000001489,0.000001191,0.000003670
1000,0.000033331,0.000649193,0.000078413,0.000018317,0.000221940
10000,0.000584790,0.061424831,0.006698225,0.000393831,0.018988753
25000,0.001604419,0.383511012,0.041037168,0.001134001,0.107113813
50000,0.003492662,2.225726510,0.166513718,0.002449537,0.427873133
75000,0.005315871,5.987623465,0.368675191,0.003801673,0.946600326
100000,0.007165204,11.467410542,0.662966269,0.005219691,1.689691841
